Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
5@31	21.45	-3714	-31	2.57	2.14E+09	0.00205207	0.150	2.81E-02	-16	-1	-12	0.00205459	24.63	
5@32	21.52	-3695	-60	2.57	2.14E+09	0.00205122	0.184	2.80E-02	-17	-2	-11	0.00205374	24.21	
5@33	21.58	-3676	-89	2.57	2.14E+09	0.00205044	0.186	2.77E-02	-17	-1	-10	0.00205296	23.82	
5@34	21.65	-3657	-118	2.57	2.15E+09	0.00205229	0.166	2.79E-02	-17	-1	-11	0.00205480	24.74	
5@35	21.72	-3638	-147	2.58	2.13E+09	0.00205267	0.172	2.65E-02	-17	-1	-12	0.00205519	24.93	
5@36	21.78	-3619	-176	2.58	2.12E+09	0.00205344	0.130	2.81E-02	-17	-1	-12	0.00205595	25.31	
5@37	21.85	-3600	-205	2.57	2.14E+09	0.00205156	0.144	2.80E-02	-17	-1	-11	0.00205407	24.37	
5@38	21.92	-3581	-234	2.57	2.14E+09	0.00205285	0.195	2.80E-02	-17	-1	-12	0.00205537	25.02	
5@39	21.98	-3562	-263	2.57	2.12E+09	0.00205352	0.198	2.82E-02	-18	-1	-12	0.00205604	25.35	
5@40	22.05	-3543	-292	2.57	2.14E+09	0.00205397	0.161	2.80E-02	-18	0	-12	0.00205649	25.58	
5@41	22.12	-3524	-321	2.57	2.12E+09	0.00205406	0.166	2.44E-02	-18	-1	-11	0.00205658	25.62	
5@42	22.32	-3505	-350	2.57	2.12E+09	0.00205419	0.184	2.22E-02	-18	-1	-11	0.00205671	25.69	
5@43	22.38	-3486	-379	2.57	2.12E+09	0.00205408	0.194	2.39E-02	-18	-1	-11	0.00205660	25.63	
5@44	22.45	-3467	-408	2.57	2.13E+09	0.00205493	0.146	2.60E-02	-18	-1	-12	0.00205745	26.06	
5@45	22.52	-3448	-437	2.57	2.11E+09	0.00205296	0.165	2.68E-02	-19	-1	-11	0.00205547	25.07	
5@46	22.58	-3429	-466	2.57	2.12E+09	0.00205127	0.172	2.65E-02	-19	-1	-10	0.00205379	24.23	
5@47	22.65	-3410	-495	2.57	2.10E+09	0.00205234	0.314	2.77E-02	-19	-3	-12	0.00205486	24.76	
5@48	22.72	-3391	-524	2.57	2.11E+09	0.00205266	0.219	2.84E-02	-19	-2	-12	0.00205517	24.92	
5@49	22.78	-3372	-553	2.57	2.11E+09	0.00205147	0.175	2.84E-02	-19	-1	-12	0.00205398	24.33	
5@50	22.85	-3353	-581	2.56	2.11E+09	0.00205112	0.160	2.84E-02	-19	-1	-11	0.00205363	24.15	
6@01	16.60	-2992	-4405	2.65	2.18E+09	0.00205656	0.133	2.62E-02	-53	7	-7	0.00205908	26.87	
6@02	16.67	-2957	-4405	2.65	2.18E+09	0.00205496	0.196	2.59E-02	-53	7	-6	0.00205748	26.07	
6@03	16.73	-2922	-4405	2.65	2.18E+09	0.00205245	0.168	2.75E-02	-53	7	-7	0.00205496	24.82	
6@04	16.80	-2887	-4405	2.65	2.18E+09	0.00205331	0.158	2.65E-02	-53	7	-7	0.00205583	25.25	
6@05	16.87	-2852	-4404	2.65	2.20E+09	0.00205152	0.144	2.73E-02	-52	8	-8	0.00205403	24.35	
6@06	16.93	-2817	-4403	2.65	2.21E+09	0.00205053	0.169	2.72E-02	-52	8	-8	0.00205304	23.86	
6@07	17.00	-2782	-4402	2.65	2.18E+09	0.00205029	0.144	2.75E-02	-52	7	-9	0.00205280	23.74	
6@08	17.07	-2747	-4401	2.65	2.19E+09	0.00205095	0.162	2.74E-02	-51	7	-10	0.00205346	24.07	
6@09	17.13	-2712	-4400	2.65	2.21E+09	0.00205623	0.177	2.72E-02	-51	7	-11	0.00205875	26.70	
6@10	17.20	-2677	-4399	2.65	2.22E+09	0.00205542	0.136	2.71E-02	-51	7	-10	0.00205794	26.30	
6@11	17.27	-2642	-4398	2.65	2.18E+09	0.00205556	0.146	2.75E-02	-51	6	-10	0.00205808	26.37	
6@12	17.33	-2607	-4397	2.65	2.20E+09	0.00205399	0.166	2.72E-02	-51	6	-10	0.00205651	25.59	
6@13	17.40	-2571	-4396	2.66	2.21E+09	0.00205354	0.180	2.71E-02	-50	6	-11	0.00205605	25.36	
6@14	17.47	-2535	-4395	2.66	2.20E+09	0.00205376	0.196	2.72E-02	-50	5	-10	0.00205628	25.47	
6@15	17.53	-2499	-4394	2.66	2.20E+09	0.00205363	0.177	2.71E-02	-50	5	-11	0.00205615	25.41	
6@16	17.73	-2463	-4393	2.66	2.21E+09	0.00205353	0.144	2.70E-02	-49	4	-12	0.00205605	25.36	
6@17	17.80	-2427	-4392	2.65	2.20E+09	0.00205087	0.159	2.73E-02	-49	6	-11	0.00205338	24.03	
6@18	17.87	-2391	-4391	2.65	2.19E+09	0.00204752	0.154	2.74E-02	-49	6	-11	0.00205003	22.36	
