Mount	SIMS_ID	Fish_ID	Distance_um	Na/Ca	Mg/Ca	Mn/Ca	Sr/Ca	Ba/Ca	comment	
035	A	BH-93152	423.5	8.87E-03	1.35E-04	1.38E-04	3.12E-03	4.10E-06		
035	A	BH-93152	418.0	8.01E-03	1.11E-04	1.03E-04	2.93E-03	4.10E-06		
035	A	BH-93152	412.5	7.62E-03	1.09E-04	8.81E-05	2.71E-03	4.98E-06		
035	A	BH-93152	407.0	8.71E-03	1.24E-04	8.99E-05	3.09E-03	6.30E-06		
035	A	BH-93152	401.5	8.98E-03	1.45E-04	8.71E-05	3.18E-03	6.92E-06		
035	A	BH-93152	396.0	8.16E-03	1.42E-04	7.76E-05	2.91E-03	6.09E-06		
035	A	BH-93152	390.5	9.94E-03	1.54E-04	8.28E-05	3.15E-03	5.11E-06		
035	A	BH-93152	385.0	9.94E-03	1.44E-04	8.10E-05	2.99E-03	3.68E-06		
035	A	BH-93152	379.5	7.96E-03	1.12E-04	7.61E-05	2.80E-03	2.71E-06		
035	A	BH-93152	374.0	1.02E-02	9.99E-05	7.80E-05	2.87E-03	3.02E-06		
035	A	BH-93152	368.5	8.11E-03	1.12E-04	6.41E-05	2.49E-03	2.78E-06		
035	A	BH-93152	363.0	8.07E-03	1.08E-04	6.18E-05	2.47E-03	2.73E-06		
035	A	BH-93152	357.5	9.03E-03	1.33E-04	6.49E-05	2.67E-03	3.03E-06		
035	A	BH-93152	352.0	8.96E-03	1.37E-04	5.33E-05	2.50E-03	2.58E-06		
035	A	BH-93152	346.5	8.87E-03	1.37E-04	5.33E-05	2.33E-03	2.18E-06		
035	A	BH-93152	341.0	9.36E-03	1.29E-04	5.33E-05	2.44E-03	2.29E-06		
035	A	BH-93152	335.5	8.98E-03	1.24E-04	5.31E-05	2.80E-03	2.21E-06		
035	A	BH-93152	330.0	8.06E-03	1.21E-04	6.58E-05	2.84E-03	1.65E-06		
035	A	BH-93152	324.5	1.10E-02	1.51E-04	7.91E-05	3.00E-03	2.65E-06		
035	A	BH-93152	319.0	1.08E-02	1.66E-04	8.72E-05	2.94E-03	1.68E-06		
035	A	BH-93152	313.5	1.01E-02	1.59E-04	8.85E-05	2.74E-03	2.34E-06		
035	A	BH-93152	308.0	7.85E-03	1.78E-04	9.75E-05	2.79E-03	3.12E-06		
035	A	BH-93152	302.5	8.24E-03	1.64E-04	1.02E-04	2.84E-03	3.60E-06		
035	A	BH-93152	297.0	8.60E-03	1.35E-04	1.01E-04	2.93E-03	4.60E-06		
035	A	BH-93152	291.5	8.82E-03	1.36E-04	9.43E-05	3.02E-03	4.60E-06		
035	A	BH-93152	286.0	8.90E-03	1.35E-04	9.51E-05	3.06E-03	6.01E-06		
035	A	BH-93152	280.5	8.70E-03	1.35E-04	8.18E-05	3.06E-03	6.11E-06		
035	A	BH-93152	275.0	8.27E-03	1.36E-04	6.81E-05	3.08E-03	6.79E-06		
035	A	BH-93152	269.5	8.56E-03	1.30E-04	8.53E-05	3.02E-03	7.03E-06		
035	A	BH-93152	264.0	8.76E-03	1.21E-04	8.65E-05	3.07E-03	7.14E-06		
035	A	BH-93152	258.5	9.30E-03	1.21E-04	9.15E-05	3.24E-03	7.54E-06		
035	A	BH-93152	253.0	9.58E-03	1.19E-04	9.43E-05	3.21E-03	7.76E-06		
035	A	BH-93152	247.5	9.53E-03	1.37E-04	9.04E-05	3.57E-03	7.65E-06		
035	A	BH-93152	242.0	8.87E-03	1.47E-04	9.03E-05	3.29E-03	9.40E-06		
035	A	BH-93152	236.5	8.87E-03	1.54E-04	8.85E-05	3.08E-03	7.75E-06		
035	A	BH-93152	231.0	9.88E-03	1.54E-04	8.74E-05	3.37E-03	9.95E-06		
035	A	BH-93152	225.5	1.03E-02	1.44E-04	8.56E-05	3.43E-03	1.05E-05		
035	A	BH-93152	220.0	9.57E-03	1.15E-04	6.87E-05	3.38E-03	9.27E-06		
035	A	BH-93152	214.5	8.77E-03	1.08E-04	5.30E-05	3.18E-03	8.73E-06		
035	A	BH-93152	209.0	8.07E-03	1.03E-04	4.51E-05	2.95E-03	7.57E-06		
035	A	BH-93152	203.5	7.72E-03	1.18E-04	3.99E-05	2.78E-03	8.57E-06		
035	A	BH-93152	198.0	7.72E-03	1.03E-04	3.73E-05	2.72E-03	7.26E-06		
035	A	BH-93152	192.5	7.66E-03	9.44E-05	4.08E-05	2.68E-03	7.75E-06		
035	A	BH-93152	187.0	7.71E-03	1.07E-04	3.66E-05	2.62E-03	8.13E-06		
035	A	BH-93152	181.5	7.71E-03	9.04E-05	3.74E-05	2.75E-03	7.42E-06		
035	A	BH-93152	176.0	7.86E-03	9.30E-05	4.30E-05	2.81E-03	6.90E-06		
035	A	BH-93152	170.5	7.94E-03	1.06E-04	3.93E-05	2.73E-03	5.61E-06		
035	A	BH-93152	165.0	7.70E-03	1.18E-04	3.97E-05	2.53E-03	5.01E-06		
035	A	BH-93152	159.5	7.84E-03	1.50E-04	3.76E-05	2.52E-03	5.09E-06		
035	A	BH-93152	154.0	7.84E-03	1.50E-04	3.75E-05	2.58E-03	5.46E-06		
035	A	BH-93152	148.5	7.91E-03	1.26E-04	3.66E-05	2.65E-03	5.67E-06		
035	A	BH-93152	143.0	8.22E-03	9.80E-05	3.37E-05	2.75E-03	5.89E-06		
035	A	BH-93152	137.5	7.46E-03	8.22E-05	3.37E-05	2.33E-03	5.82E-06		
035	A	BH-93152	132.0	7.25E-03	9.46E-05	3.61E-05	2.28E-03	3.91E-06		
035	A	BH-93152	126.5	7.08E-03	9.23E-05	4.91E-05	2.22E-03	4.65E-06		
035	A	BH-93152	121.0	7.43E-03	1.22E-04	5.47E-05	2.71E-03	6.77E-06		
035	A	BH-93152	115.5	8.19E-03	1.33E-04	6.02E-05	3.18E-03	6.16E-06		
035	A	BH-93152	110.0	7.87E-03	1.28E-04	6.80E-05	3.12E-03	7.15E-06		
035	A	BH-93152	104.5	7.58E-03	1.19E-04	7.09E-05	2.92E-03	6.43E-06		
035	A	BH-93152	99.0	7.68E-03	1.12E-04	7.69E-05	3.13E-03	6.36E-06		
035	A	BH-93152	93.5	8.58E-03	1.30E-04	8.71E-05	3.64E-03	9.19E-06		
