Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
#P-S88@03	9.42	5770	-1494	2.26	2.08E+09	0.00203929	0.15	0.0278	12	3	30	0.00204887	21.78	
#P-S88@04	9.48	5800	-1476	2.26	2.09E+09	0.00203937	0.18	0.0290	12	3	27	0.00204894	21.82	
#P-S88@05	9.55	5831	-1458	2.27	2.07E+09	0.00203995	0.17	0.0296	13	2	29	0.00204953	22.11	
#P-S88@06	9.62	5861	-1440	2.25	1.19E+09	0.00202545	0.36	0.0390	13	3	35	0.00203496		outlier, crack?
#P-S88@07	9.68	5891	-1422	2.26	7.25E+08	0.00201695	0.36	0.0428	20	1	19	0.00202642		outlier, crack?
#P-S88@08	9.75	5922	-1404	2.26	1.97E+09	0.00203949	0.21	0.0344	14	1	27	0.00204906	21.88	
#P-S88@09	9.83	5952	-1386	2.27	1.94E+09	0.00203641	0.20	0.0377	15	2	26	0.00204597	20.33	
#P-S88@10	9.90	5982	-1368	2.26	2.04E+09	0.00203919	0.20	0.0352	15	1	25	0.00204876	21.72	
#P-S88@11	10.12	6013	-1350	2.25	2.02E+09	0.00203770	0.17	0.0344	16	1	28	0.00204726	20.98	
#P-S88@12	10.18	6043	-1332	2.26	2.06E+09	0.00203709	0.15	0.0342	16	1	25	0.00204665	20.67	
#P-S88@13	10.25	6073	-1314	2.26	2.08E+09	0.00203914	0.16	0.0303	17	1	26	0.00204872	21.70	
#P-S88@14	10.32	6104	-1296	2.27	2.12E+09	0.00203840	0.17	0.0323	17	2	25	0.00204797	21.33	
#P-S88@15	10.38	6134	-1278	2.37	2.17E+09	0.00204161	0.15	0.0305	18	0	26	0.00205119	22.93	
#P-S88@16	10.45	6164	-1260	2.42	2.23E+09	0.00204200	0.13	0.0295	19	1	22	0.00205159	23.13	
#P-S88@17	10.53	6195	-1242	2.44	2.23E+09	0.00204042	0.19	0.0297	18	-1	25	0.00205000	22.34	
#P-S88@18	10.60	6225	-1224	2.43	2.23E+09	0.00203838	0.17	0.0308	19	0	24	0.00204795	21.32	
#P-S88@19	10.67	6256	-1206	2.44	2.22E+09	0.00203807	0.21	0.0291	20	2	27	0.00204763	21.16	
#P-S88@20	10.73	6286	-1188	2.45	2.22E+09	0.00203826	0.15	0.0271	20	-1	25	0.00204782	21.26	
#P-S88@21	10.80	6316	-1169	2.45	2.24E+09	0.00203827	0.14	0.0271	21	0	24	0.00204784	21.26	
#P-S88@22	10.88	6347	-1150	2.46	2.23E+09	0.00204154	0.15	0.0300	21	0	25	0.00205112	22.90	
#P-S88@23	10.95	6377	-1131	2.45	2.23E+09	0.00204200	0.16	0.0322	22	0	27	0.00205158	23.13	
#P-S88@24	11.02	6407	-1112	2.45	2.25E+09	0.00204177	0.21	0.0301	21	-2	23	0.00205136	23.02	
#P-S88@25	11.08	6438	-1093	2.47	2.26E+09	0.00204166	0.16	0.0287	22	-1	24	0.00205125	22.96	
#P-S88@26	11.15	6468	-1074	2.48	2.24E+09	0.00203985	0.18	0.0313	22	1	26	0.00204942	22.06	
#P-S88@27	11.22	6498	-1055	2.48	2.24E+09	0.00203911	0.19	0.0297	23	-2	24	0.00204868	21.68	
#P-S88@28	11.30	6529	-1036	2.48	2.24E+09	0.00203993	0.19	0.0278	24	0	22	0.00204951	22.10	
#P-S88@29	11.37	6559	-1017	2.48	2.24E+09	0.00204083	0.18	0.0260	24	-2	22	0.00205041	22.55	
#P-S88@30	11.43	6589	-998	2.49	2.24E+09	0.00204334	0.20	0.0281	25	0	26	0.00205293	23.80	
#P-S88@31	11.65	6620	-979	2.47	2.23E+09	0.00204250	0.20	0.0300	26	0	25	0.00205208	23.38	
#P-S88@32	11.72	6650	-960	2.48	2.24E+09	0.00204166	0.19	0.0294	26	-2	22	0.00205125	22.96	
#P-S88@33	11.78	6680	-941	2.48	2.24E+09	0.00204094	0.17	0.0298	26	0	23	0.00205052	22.60	
#P-S88@34	11.85	6711	-922	2.49	2.25E+09	0.00203854	0.18	0.0286	26	-2	25	0.00204811	21.40	
