Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment										
D-S88@21	12.68	-2855	4043	2.38	2.01E+09	0.00204797	0.148	0.0342	19	-4	-24	0.00205174	23.21											
D-S88@22	12.75	-2886	4058	2.38	2.02E+09	0.00204810	0.188	0.0339	19	-4	-25	0.00205187	23.27											
D-S88@23	12.82	-2917	4073	2.38	2.05E+09	0.00204872	0.180	0.0349	19	-3	-25	0.00205250	23.59											
D-S88@24	12.88	-2948	4089	2.38	1.92E+09	0.00204622	0.225	0.0366	19	-4	-24	0.00204999	22.34											
D-S88@25	12.95	-2979	4104	2.38	2.03E+09	0.00204979	0.141	0.0358	19	-4	-26	0.00205356	24.12											
D-S88@26	13.02	-3010	4120	2.38	2.04E+09	0.00204908	0.146	0.0346	19	-4	-25	0.00205286		low count rate, discard										
D-S88@27	13.08	-3041	4135	2.38	1.79E+09	0.00203997	0.293	0.0397	19	-4	-21	0.00204372	19.21											
D-S88@28	13.15	-3072	4151	2.38	1.93E+09	0.00204807	0.161	0.0386	20	-5	-23	0.00205184	23.26											
D-S88@29	13.22	-3103	4166	2.38	2.04E+09	0.00204884	0.159	0.0335	19	-5	-25	0.00205261	23.64											
D-S88@30	13.28	-3134	4181	2.38	2.04E+09	0.00204858	0.148	0.0339	20	-5	-25	0.00205235	23.51											
D-S88@31	13.35	-3165	4197	2.38	1.94E+09	0.00204331	0.135	0.0382	20	-5	-24	0.00204707	20.88											
D-S88@32	13.42	-3196	4212	2.38	1.95E+09	0.00204542	0.172	0.0360	20	-5	-24	0.00204919	21.94											
D-S88@33	13.48	-3227	4228	2.38	2.02E+09	0.00204993	0.141	0.0365	20	-5	-24	0.00205370	24.19											
D-S88@34	13.55	-3258	4243	2.38	2.02E+09	0.00204698	0.175	0.0373	20	-6	-25	0.00205075	22.72											
D-S88@35	13.62	-3289	4259	2.37	2.04E+09	0.00204848	0.182	0.0354	20	-5	-24	0.00205225	23.46											
D-S88@36	13.68	-3320	4274	2.37	2.03E+09	0.00204701	0.186	0.0367	20	-5	-25	0.00205078	22.73											
D-S88@37	13.90	-3351	4289	2.37	2.01E+09	0.00204653	0.164	0.0373	20	-5	-24	0.00205029	22.49											
D-S88@38	13.97	-3382	4305	2.37	2.00E+09	0.00204511	0.164	0.0384	20	-6	-23	0.00204888	21.78											
D-S88@39	14.03	-3413	4320	2.37	2.04E+09	0.00204497	0.168	0.0376	21	-6	-23	0.00204874	21.71											
D-S88@40	14.10	-3444	4336	2.37	1.98E+09	0.00204489	0.142	0.0366	20	-6	-23	0.00204865	21.67											
D-S88@41	14.17	-3475	4351	2.37	1.86E+09	0.00204267	0.210	0.0360	21	-6	-24	0.00204642	20.56											
D-S88@42	14.23	-3506	4367	2.37	1.96E+09	0.00204559	0.158	0.0351	21	-6	-25	0.00204935	22.02											
D-S88@43	14.30	-3537	4382	2.37	2.00E+09	0.00204528	0.179	0.0326	21	-6	-24	0.00204904	21.86											
D-S88@44	14.37	-3568	4397	2.37	1.92E+09	0.00204695	0.188	0.0354	22	-6	-22	0.00205071	22.70											
D-S88@45	14.43	-3599	4413	2.37	2.04E+09	0.00204619	0.161	0.0340	21	-6	-25	0.00204996	22.32											
D-S88@46	14.50	-3630	4428	2.37	2.04E+09	0.00204848	0.153	0.0346	21	-7	-26	0.00205225	23.46											
D-S88@47	14.57	-3661	4444	2.37	2.06E+09	0.00204750	0.167	0.0344	21	-7	-25	0.00205127	22.97											
D-S88@48	14.63	-3692	4459	2.37	2.05E+09	0.00204852	0.170	0.0336	21	-7	-24	0.00205229	23.48											
D-S88@49	14.70	-3723	4475	2.37	2.04E+09	0.00204914	0.174	0.0320	21	-7	-24	0.00205291	23.79											
D-S88@50	14.77	-3754	4490	2.37	2.03E+09	0.00204740	0.159	0.0335	21	-8	-26	0.00205117	22.93											
E-S88@01	14.85	1980	4255	2.36	2.06E+09	0.00205369	0.171	0.0258	-6	-5	-27	0.00205747	26.07											
E-S88@02	14.92	1945	4255	2.37	2.08E+09	0.00205352	0.162	0.0278	-5	-5	-28	0.00205730	25.98											
E-S88@03	14.98	1910	4255	2.37	2.07E+09	0.00205337	0.159	0.0274	-4	-5	-27	0.00205715	25.91											
E-S88@04	15.05	1876	4255	2.37	2.07E+09	0.00205227	0.170	0.0263	-4	-5	-25	0.00205605	25.36											
E-S88@05	15.12	1841	4255	2.37	2.05E+09	0.00205179	0.167	0.0250	-5	-5	-24	0.00205557	25.12											
E-S88@06	15.18	1807	4255	2.37	2.06E+09	0.00205129	0.164	0.0243	-4	-5	-24	0.00205506	24.87											
E-S88@07	15.38	1773	4255	2.37	2.05E+09	0.00205026	0.168	0.0259	-4	-5	-26	0.00205403	24.35											
